domain,observation_month,country,desktop_traffic_share_pct,mom_change_pct
rhodeskin.com,2026-07,United States,51.42,-52.70
rhodeskin.com,2026-07,United Kingdom,5.59,-42.24
rhodeskin.com,2026-07,Australia,4.57,-54.69
rhodeskin.com,2026-07,France,3.97,0.39
rhodeskin.com,2026-07,Canada,2.76,-56.44
rhodeskin.com,2026-07,Others,31.68,
rarebeauty.com,2026-07,United States,53.10,21.19
rarebeauty.com,2026-07,United Kingdom,5.19,157.00
rarebeauty.com,2026-07,Brazil,3.75,120.80
rarebeauty.com,2026-07,India,3.23,66.62
rarebeauty.com,2026-07,Mexico,2.83,4.37
rarebeauty.com,2026-07,Others,31.91,
glossier.com,2026-07,United States,63.58,-15.94
glossier.com,2026-07,United Kingdom,7.40,-16.40
glossier.com,2026-07,Canada,3.73,30.56
glossier.com,2026-07,France,2.39,-11.29
glossier.com,2026-07,India,2.08,68.36
glossier.com,2026-07,Others,20.83,
